Consultoria,1,1,2,200
Consultoria,1,10,2,400
Consultoria,1,15,2,400
Consultoria,2,1,2,2000
Consultoria,2,10,2,2000
Consultoria,2,15,2,1000
Consultoria,3,1,2,2000
Consultoria,3,10,2,1000
Consultoria,3,15,2,1000
Consultoria,4,1,2,200
Consultoria,4,10,2,400
Consultoria,4,15,2,400
Consultoria,5,1,2,2000
Consultoria,5,1,2,2000
Consultoria,5,1,2,2000
Consultoria,6,10,2,2000
Consultoria,6,15,2,2000
Consultoria,6,1,2,1000
Consultoria,7,10,2,200
Consultoria,7,15,2,700
Consultoria,7,1,2,100
Consultoria,8,10,2,200
Consultoria,8,15,2,200
Consultoria,8,1,2,1600
Consultoria,9,10,2,1200
Consultoria,9,15,2,200
Consultoria,9,1,2,300
Consultoria,10,10,2,1000
Consultoria,10,15,2,2000
Consultoria,10,1,2,1000
Consultoria,11,10,2,200
Consultoria,11,15,2,200
Consultoria,11,1,2,800
Consultoria,12,10,2,2000
Consultoria,12,15,2,2000
Consultoria,12,1,2,2000
Electronica,1,1,2,2000
Electronica,1,10,2,2000
Electronica,1,15,2,1000
Electronica,2,1,2,2000
Electronica,2,10,2,2000
Electronica,2,15,2,2000
Electronica,3,1,2,200
Electronica,3,10,2,1000
Electronica,3,15,2,800
Electronica,4,1,2,200
Electronica,4,10,2,400
Electronica,4,15,2,400
Electronica,5,1,2,200
Electronica,5,1,2,200
Electronica,5,1,2,600
Electronica,6,10,2,2000
Electronica,6,15,2,2000
Electronica,6,1,2,1000
Electronica,7,10,2,200
Electronica,7,15,2,700
Electronica,7,1,2,100
Electronica,8,10,2,200
Electronica,8,15,2,200
Electronica,8,1,2,600
Electronica,9,10,2,200
Electronica,9,15,2,700
Electronica,9,1,2,100
Electronica,10,10,2,2000
Electronica,10,15,2,2000
Electronica,10,1,2,2000
Electronica,11,10,2,1000
Electronica,11,15,2,200
Electronica,11,1,2,1800
Electronica,12,10,2,200
Electronica,12,15,2,200
Electronica,12,1,2,600
Electricidad,1,1,2,200
Electricidad,1,10,2,400
Electricidad,1,15,2,400
Electricidad,2,1,2,2000
Electricidad,2,10,2,2000
Electricidad,2,15,2,1000
Electricidad,3,1,2,2000
Electricidad,3,10,2,1000
Electricidad,3,15,2,1000
Electricidad,4,1,2,200
Electricidad,4,10,2,400
Electricidad,4,15,2,400
Electricidad,5,1,2,200
Electricidad,5,1,2,200
Electricidad,5,1,2,600
Electricidad,6,10,2,2000
Electricidad,6,15,2,2000
Electricidad,6,1,2,1000
Electricidad,7,10,2,200
Electricidad,7,15,2,700
Electricidad,7,1,2,100
Electricidad,8,10,2,1200
Electricidad,8,15,2,1200
Electricidad,8,1,2,1600
Electricidad,9,10,2,200
Electricidad,9,15,2,200
Electricidad,9,1,2,600
Electricidad,10,10,2,1000
Electricidad,10,15,2,2000
Electricidad,10,1,2,1000
Electricidad,11,10,2,1000
Electricidad,11,15,2,200
Electricidad,11,1,2,1800
Electricidad,12,10,2,200
Electricidad,12,15,2,200
Electricidad,12,1,2,600
